Year,Model_Rs,Tm,Pm,Rs_Anomaly,Tm_Anomaly,Pm_Anomaly,CO2_Emission,Root_straw_stover,ANPP_Grass(g/m2),ANPP_Grass(Mg/Ha),Tm_Global,Tm_Global_Anomaly
1961,3.524109,6.530746,51.379556,0.021339648,-0.124746685,2.039441167,0,,,,6.7451665,-0.159706988
1962,3.427675,6.221172,48.282493,-0.075094352,-0.434320685,-1.057621833,0,,,,6.63530475,-0.269568738
1963,3.475897,6.538101,46.788822,-0.026872352,-0.117391685,-2.551292833,0,,,,6.753649,-0.151224488
1964,3.434053,6.176196,51.598451,-0.068716352,-0.479296685,2.258336167,0,,,,6.270779625,-0.634093863
1965,3.430286,6.237263,46.191636,-0.072483352,-0.418229685,-3.148478833,0,,,,6.409973875,-0.494899613
1966,3.463644,6.358249,45.191686,-0.039125352,-0.297243685,-4.148428833,0.01,,,,6.560388,-0.344485488
1967,3.364894,5.852239,47.343888,-0.137875352,-0.803253685,-1.996226833,0.05,,,,6.613281125,-0.291592363
1968,3.423982,6.170373,47.391832,-0.078787352,-0.485119685,-1.948282833,0.085,,,,6.455162625,-0.449710863
1969,3.369519,5.84797,49.174102,-0.133250352,-0.807522685,-0.166012833,0.112,,,,6.336084375,-0.568789113
1970,3.402142,6.009395,50.476109,-0.100627352,-0.646097685,1.135994167,0.147,,,,6.575561875,-0.329311613
1971,3.414055,6.34526,46.837906,-0.088714352,-0.310232685,-2.502208833,0.192,,,,6.482182875,-0.422690613
1972,3.411704,6.259497,46.305036,-0.091065352,-0.395995685,-3.035078833,0.245,,,,6.342038875,-0.562834613
1973,3.545631,6.682431,53.180927,0.042861648,0.026938315,3.840812167,0.289,,,,6.784236625,-0.120636863
1974,3.40169,6.118661,48.363016,-0.101079352,-0.536831685,-0.977098833,0.343,,,,6.38322775,-0.521645738
1975,3.506764,6.601529,50.582539,0.003994648,-0.053963685,1.242424167,0.361,,,,6.70068125,-0.204192238
1976,3.354438,5.940754,46.501521,-0.148331352,-0.714738685,-2.838593833,0.378,,,,6.237575875,-0.667297613
1977,3.449519,6.333301,48.676259,-0.053250352,-0.322191685,-0.663855833,0.396,,,,6.68342825,-0.221445238
1978,3.474142,6.521348,44.882273,-0.028627352,-0.134144685,-4.457841833,0.423,,,,6.593006625,-0.311866863
1979,3.477499,6.535678,46.441367,-0.025270352,-0.119814685,-2.898747833,0.432,,,,6.608448875,-0.296424613
1980,3.474307,6.438023,51.303238,-0.028462352,-0.217469685,1.963123167,0.45,0.459,435.237,4.35237,6.80048525,-0.104388238
1981,3.479945,6.415872,51.85053,-0.022824352,-0.239620685,2.510415167,0.45,0.49,404.363,4.04363,7.018393125,0.113519637
1982,3.481483,6.673601,47.249685,-0.021286352,0.018108315,-2.090429833,0.47,0.535,307.815,3.07815,6.635349,-0.269524488
1983,3.491711,6.438309,52.442323,-0.011058352,-0.217183685,3.102208167,0.5,0.562,391.37,3.9137,6.896307875,-0.008565613
1984,3.356933,5.991211,47.368863,-0.145836352,-0.664281685,-1.971251833,0.5,0.611,305.77,3.0577,6.564269125,-0.340604363
1985,3.414238,6.182902,48.843864,-0.088531352,-0.472590685,-0.496250833,0.522,0.577,361.464,3.61464,6.568247125,-0.336626363
1986,3.419557,6.328927,43.697655,-0.083212352,-0.326565685,-5.642459833,0.54,0.627,420.141,4.20141,6.761059375,-0.143814113
1987,3.517504,6.677634,48.569492,0.014734648,0.022141315,-0.770622833,0.575,0.632,336.53,3.3653,6.82643675,-0.078436738
1988,3.484882,6.7142,46.76054,-0.017887352,0.058707315,-2.579574833,0.628,0.632,304.661,3.04661,7.136250875,0.231377387
1989,3.502244,6.794398,46.473206,-0.000525352,0.138905315,-2.866908833,0.655,0.653,324.533,3.24533,6.908225375,0.003351887
1990,3.61186,7.184886,51.389321,0.109090648,0.529393315,2.049206167,0.7,0.833,353.359,3.53359,7.208501375,0.303627887
1991,3.470105,6.57521,48.542122,-0.032664352,-0.080282685,-0.797992833,0.734,0.833,414,4.14,6.9946955,0.089822012
1992,3.487825,6.339503,57.281603,-0.014944352,-0.315989685,7.941488167,0.771,0.838,417.98,4.1798,6.702583,-0.202290488
1993,3.45979,6.399913,53.127439,-0.042979352,-0.255579685,3.787324167,0.806,0.871,394,3.94,6.679993,-0.224880488
1994,3.578365,6.983546,52.967657,0.075595648,0.328053315,3.627542167,0.859,0.904,392,3.92,6.9531465,0.048273012
1995,3.498729,6.70944,48.730659,-0.004040352,0.053947315,-0.609455833,0.886,0.996,327,3.27,7.214737625,0.309864137
1996,3.439726,6.436466,49.541865,-0.063043352,-0.219026685,0.201750167,0.948,1.067,376,3.76,6.835467125,-0.069406363
1997,3.528212,6.865178,47.928318,0.025442648,0.209685315,-1.411796833,1.019,1.105,322,3.22,7.057720125,0.152846637
1998,3.702915,7.556148,54.387635,0.200145648,0.900655315,5.047520167,1.072,1.143,402,4.02,7.37914375,0.474270262
1999,3.601754,7.317699,46.726427,0.098984648,0.662206315,-2.613687833,1.125,1.148,447.6,4.476,7.15564175,0.250768262
2000,3.516148,6.736148,50.43954,0.013378648,0.080655315,1.099425167,1.214,1.225,412.8,4.128,7.019137,0.114263512
2001,3.576844,7.106477,48.848895,0.074074648,0.450984315,-0.491219833,1.276,1.284,371,3.71,7.263809375,0.358935887
2002,3.642481,7.310814,52.61402,0.139711648,0.655321315,3.273905167,1.347,1.295,433.6,4.336,7.428417875,0.523544387
2003,3.568357,7.06159,50.280692,0.065587648,0.406097315,0.940577167,1.426,1.202,335,3.35,7.31904475,0.414171262
2004,3.590534,7.273888,47.87756,0.087764648,0.618395315,-1.462554833,1.48,1.359,315,3.15,7.19116675,0.286293262
2005,3.540676,6.949863,47.87756,0.037906648,0.294370315,-1.462554833,1.542,1.468,305,3.05,7.5394745,0.634601012
2006,3.631734,7.461753,47.847078,0.128964648,0.806260315,-1.493036833,1.648,1.627,389.7,3.897,7.3530375,0.448164012
2007,3.665954,7.715441,48.266176,0.163184648,1.059948315,-1.073938833,1.815,1.644,403.6,4.036,7.5973745,0.692501012
2008,3.576448,7.138096,51.808829,0.073678648,0.482603315,2.468714167,1.975,1.911,359.8,3.598,7.313983,0.409109512
2009,3.596421,7.302518,47.288873,0.093651648,0.647025315,-2.051241833,2.16,2.047,298.1,2.981,7.336001,0.431127512
2010,3.595174,7.030336,54.222228,0.092404648,0.374843315,4.882113167,2.311,2.047,344.8,3.448,7.4593255,0.554452012
2011,3.500629,6.922939,45.067702,-0.002140352,0.267446315,-4.272412833,2.478,,485,4.85,7.36267625,0.457802762
2012,3.533899,6.620299,54.562804,0.031129648,-0.035193685,5.222689167,2.7,,,,7.282301375,0.377427887
2013,3.637116,7.253333,53.8062,0.134346648,0.597840315,4.466085167,,,,,7.436412875,0.531539387
2014,3.623402,7.209881,52.786183,0.120632648,0.554388315,3.446068167,,,,,7.49417375,0.589300262
